file,series_id,name,location,marketplace,currency,quantity,unit,observations
paddy-emata-rainy-2022-pyapon-bfddecf8b2.svg,paddy-emata-rainy-2022-pyapon-bfddecf8b2,Paddy (Emata) (Rainy 2022),Pathein,Pyapon,MMK,100,basket,2
paddy-paw-san-rainy-2022-dedaye-f032993296.svg,paddy-paw-san-rainy-2022-dedaye-f032993296,Paddy (Paw San) (Rainy 2022),Pathein,Dedaye,MMK,100,basket,2
paddy-paw-san-rainy-2022-pathein-55e8195a43.svg,paddy-paw-san-rainy-2022-pathein-55e8195a43,Paddy (Paw San) (Rainy 2022),Pathein,Pathein,MMK,100,basket,2
peasant-banana-thiri-mingalar-zay-a5345060f8.svg,peasant-banana-thiri-mingalar-zay-a5345060f8,Peasant Banana,Yangon,Thiri Mingalar Zay,MMK,1,pc,2
pigeon-pea-new-pyay-da5f185738.svg,pigeon-pea-new-pyay-da5f185738,Pigeon Pea (New),Bago,Pyay,MMK,1,basket,2
pigeon-pea-rc-2021-bayint-naung-9a172b30c6.svg,pigeon-pea-rc-2021-bayint-naung-9a172b30c6,Pigeon Pea (RC) (2021),Yangon,Bayint Naung,MMK,1,ton,2
pomelo-thiri-mingalar-zay-4b4e68116e.svg,pomelo-thiri-mingalar-zay-4b4e68116e,Pomelo,Yangon,Thiri Mingalar Zay,MMK,1,pc,2
potato-ok-aung-pan-bayint-naung-820343ced2.svg,potato-ok-aung-pan-bayint-naung-820343ced2,Potato (OK) (Aung Pan),Yangon,Bayint Naung,MMK,1,viss,2
potato-ok-heho-bayint-naung-5f5a1e3db8.svg,potato-ok-heho-bayint-naung-5f5a1e3db8,Potato (OK) (Heho),Yangon,Bayint Naung,MMK,1,viss,2
potato-s1-2-aung-pan-bayint-naung-8f9613f14f.svg,potato-s1-2-aung-pan-bayint-naung-8f9613f14f,"Potato (S1,2) (Aung Pan)",Yangon,Bayint Naung,MMK,1,viss,2
potato-s3-aung-pan-bayint-naung-8d8757eca4.svg,potato-s3-aung-pan-bayint-naung-8d8757eca4,Potato (S3) (Aung Pan),Yangon,Bayint Naung,MMK,1,viss,2
pumpkin-aungpan-82d4178f7c.svg,pumpkin-aungpan-82d4178f7c,Pumpkin,Shan,Aungpan,MMK,1,viss,2
radish-thiri-mingalar-zay-69d396583a.svg,radish-thiri-mingalar-zay-69d396583a,Radish,Yangon,Thiri Mingalar Zay,MMK,1,bundle,2
rakhaine-banana-thiri-mingalar-zay-ed8ae6ce23.svg,rakhaine-banana-thiri-mingalar-zay-ed8ae6ce23,Rakhaine Banana,Yangon,Thiri Mingalar Zay,MMK,1,pc,2
red-pea-pyarr-myingyan-c5c1d8a48f.svg,red-pea-pyarr-myingyan-c5c1d8a48f,Red Pea Pyarr,Mandalay,Myingyan,MMK,1,viss,2
red-pigeon-pea-new-mandalay-fcac6f1133.svg,red-pigeon-pea-new-mandalay-fcac6f1133,Red Pigeon Pea (New),Mandalay,Mandalay,MMK,60,viss,2
red-sesame-pyay-c520800e22.svg,red-sesame-pyay-c520800e22,Red Sesame,Bago,Pyay,MMK,1,bag,2
rice-90-day-thit-shal-war-tan-fe952d9cdf.svg,rice-90-day-thit-shal-war-tan-fe952d9cdf,Rice (90 Day Thit Shal),Yangon,War Tan,MMK,1.5,basket,2
rice-emata-25-war-tan-a0e1542756.svg,rice-emata-25-war-tan-a0e1542756,Rice (Emata 25%),Yangon,War Tan,MMK,1.5,basket,2
rice-emata-new-rainy-2022-ma-naw-thu-kha-dedaye-1611b3077f.svg,rice-emata-new-rainy-2022-ma-naw-thu-kha-dedaye-1611b3077f,Rice (Emata) (New)(Rainy 2022)(Ma Naw Thu Kha),Pathein,Dedaye,MMK,1,bag,2
rice-emata-new-rainy-2022-ma-naw-thu-kha-pyapon-774e07ddc7.svg,rice-emata-new-rainy-2022-ma-naw-thu-kha-pyapon-774e07ddc7,Rice (Emata) (New)(Rainy 2022)(Ma Naw Thu Kha),Pathein,Pyapon,MMK,1,bag,2
rice-emata-rainy-2022-ma-naw-thu-kha-pathein-f56da46576.svg,rice-emata-rainy-2022-ma-naw-thu-kha-pathein-f56da46576,Rice (Emata) (Rainy 2022)(Ma Naw Thu Kha),Pathein,Pathein,MMK,1,bag,2
rice-emata-rainy-2022-myaungmya-80b7706aaf.svg,rice-emata-rainy-2022-myaungmya-80b7706aaf,Rice (Emata) (Rainy 2022),Pathein,Myaungmya,MMK,1,bag,2
rice-emata-rainy-2022-pyapon-b69f5fb052.svg,rice-emata-rainy-2022-pyapon-b69f5fb052,Rice (Emata) (Rainy 2022),Pathein,Pyapon,MMK,1,bag,2
rice-inn-lal-nattalin-564096430c.svg,rice-inn-lal-nattalin-564096430c,Rice (Inn Lal),Bago,Nattalin,MMK,100,basket,2
rice-inn-lal-new-dry-paungde-d9de27b442.svg,rice-inn-lal-new-dry-paungde-d9de27b442,Rice (Inn Lal) (New) (Dry),Bago,Paungde,MMK,100,basket,2
rice-myaungmya-pathein-paw-san-new-war-tan-d8947b54c6.svg,rice-myaungmya-pathein-paw-san-new-war-tan-d8947b54c6,Rice (MyaungMya Pathein Paw San) (New),Yangon,War Tan,MMK,1.5,basket,2
rice-nga-sein-new-war-tan-fa4b69ae7b.svg,rice-nga-sein-new-war-tan-fa4b69ae7b,Rice (Nga Sein) (New),Yangon,War Tan,MMK,1.5,basket,2
rice-ngwe-toe-old-nattalin-55050d970c.svg,rice-ngwe-toe-old-nattalin-55050d970c,Rice (Ngwe Toe) (Old),Bago,Nattalin,MMK,100,basket,2
rice-paw-san-nae-sone-new-war-tan-37d20f8da3.svg,rice-paw-san-nae-sone-new-war-tan-37d20f8da3,Rice (Paw San Nae Sone) (New),Yangon,War Tan,MMK,1.5,basket,2
rice-paw-san-rainy-2022-dedaye-95c99b1d60.svg,rice-paw-san-rainy-2022-dedaye-95c99b1d60,Rice (Paw San) (Rainy 2022),Pathein,Dedaye,MMK,1,bag,2
rice-paw-san-rainy-2022-pathein-4a59384a91.svg,rice-paw-san-rainy-2022-pathein-4a59384a91,Rice (Paw San) (Rainy 2022),Pathein,Pathein,MMK,1,bag,2
rice-pyapon-paw-san-new-war-tan-d207afb705.svg,rice-pyapon-paw-san-new-war-tan-d207afb705,Rice (Pyapon Paw San) (New),Yangon,War Tan,MMK,1.5,basket,2
rice-shwebo-paw-san-war-tan-76ababeada.svg,rice-shwebo-paw-san-war-tan-76ababeada,Rice (Shwebo Paw San),Yangon,War Tan,MMK,1.5,basket,2
rice-taung-pyan-old-nattalin-cf3302caa0.svg,rice-taung-pyan-old-nattalin-cf3302caa0,Rice (Taung Pyan) (Old),Bago,Nattalin,MMK,100,basket,2
