source,source_record_id,name,location,marketplace,market_chain_level,min_price,max_price,modal_price,currency,quantity,unit,observed_at,collected_at,source_url
wisarra,,Yadanar Toe (Na) (85%),Bago,Pyay,unspecified,800,1500,,MMK,1,bag,2026-07-08T00:00:00Z,2026-07-13T09:43:41Z,https://wisarra.com/en/market-price
wisarra,,Taung Pyan (Old),Bago,Pyay,unspecified,800,1500,,MMK,1,bag,2026-07-08T00:00:00Z,2026-07-13T09:43:41Z,https://wisarra.com/en/market-price
wisarra,,Paddy (Paw San) (Rainy 2022),Pathein,Pathein,unspecified,1800,2200,,MMK,100,basket,2026-07-08T00:00:00Z,2026-07-13T09:43:41Z,https://wisarra.com/en/market-price
wisarra,,Rice (Paw San) (Rainy 2022),Pathein,Pathein,unspecified,12000,16000,,MMK,1,bag,2026-07-08T00:00:00Z,2026-07-13T09:43:41Z,https://wisarra.com/en/market-price
wisarra,,Paddy (Emata) (Rainy 2022)(Ma Naw Thu Kha),Pathein,Pathein,unspecified,5000,5500,,MMK,100,basket,2026-07-08T00:00:00Z,2026-07-13T09:43:41Z,https://wisarra.com/en/market-price
wisarra,,Rice (Emata) (Rainy 2022)(Ma Naw Thu Kha),Pathein,Pathein,unspecified,,1000,,MMK,1,bag,2026-07-08T00:00:00Z,2026-07-13T09:43:41Z,https://wisarra.com/en/market-price
wisarra,,Paddy (Emata) (Rainy 2022),Pathein,Myaungmya,unspecified,1500,2000,,MMK,1,basket,2026-07-08T00:00:00Z,2026-07-13T09:43:41Z,https://wisarra.com/en/market-price
wisarra,,Rice (Emata) (Rainy 2022),Pathein,Myaungmya,unspecified,7000,7500,,MMK,1,bag,2026-07-08T00:00:00Z,2026-07-13T09:43:41Z,https://wisarra.com/en/market-price
wisarra,,Paddy (Emata) (Rainy 2022)(Ma Naw Thu Kha),Pathein,Myaungmya,unspecified,900,1000,,MMK,100,basket,2026-07-08T00:00:00Z,2026-07-13T09:43:41Z,https://wisarra.com/en/market-price
wisarra,,Paddy (Paw San) (Rainy 2022),Pathein,Dedaye,unspecified,650,745,,MMK,100,basket,2026-07-08T00:00:00Z,2026-07-13T09:43:41Z,https://wisarra.com/en/market-price
wisarra,,Rice (Paw San) (Rainy 2022),Pathein,Dedaye,unspecified,263,277,,MMK,1,bag,2026-07-08T00:00:00Z,2026-07-13T09:43:41Z,https://wisarra.com/en/market-price
wisarra,,Rice (Emata) (New)(Rainy 2022)(Ma Naw Thu Kha),Pathein,Dedaye,unspecified,1238,1265,,MMK,1,bag,2026-07-08T00:00:00Z,2026-07-13T09:43:41Z,https://wisarra.com/en/market-price
wisarra,,Paddy (Emata) (Rainy 2022),Pathein,Pyapon,unspecified,417,691,,MMK,100,basket,2026-07-08T00:00:00Z,2026-07-13T09:43:41Z,https://wisarra.com/en/market-price
